Mechanism,Noise,Model,Threshold regime,PR AUC,PR AUC DE,F2,Recall,Observed prev.
uniform random (control),0.1,L1-LR supervised,labels,0.7434906901335202,0.008285948891468152,0.7459976265607996,0.8237499999999999,0.1717734447539461
uniform random (control),0.1,S1 Robust Z-Score (MAD),(a) observed prevalence,0.7295534159180366,0.0,0.7191011235955057,0.7272727272727276,0.1717734447539461
uniform random (control),0.1,S1 Robust Z-Score (MAD),(b) fixed capacity 19%,0.7295534159180366,0.0,0.7191011235955056,0.7272727272727273,0.1717734447539461
uniform random (control),0.1,S3 Sum of z (distress),(a) observed prevalence,0.7710070604637808,0.0,0.6588235294117648,0.6363636363636364,0.1717734447539461
uniform random (control),0.1,S3 Sum of z (distress),(b) fixed capacity 19%,0.7710070604637808,0.0,0.6597222222222222,0.6477272727272727,0.1717734447539461
uniform random (control),0.1,S5 PC1 (p-factor),(a) observed prevalence,0.7390496532248282,0.0,0.6365740740740743,0.625,0.1717734447539461
uniform random (control),0.1,S5 PC1 (p-factor),(b) fixed capacity 19%,0.7390496532248282,0.0,0.6436781609195402,0.6363636363636364,0.1717734447539461
uniform random (control),0.2,L1-LR supervised,labels,0.7387122123014781,0.011664661427411072,0.7385880789182063,0.8121590909090911,0.15227483751160634
uniform random (control),0.2,S1 Robust Z-Score (MAD),(a) observed prevalence,0.7295534159180366,0.0,0.6928406466512703,0.681818181818182,0.15227483751160634
uniform random (control),0.2,S1 Robust Z-Score (MAD),(b) fixed capacity 19%,0.7295534159180366,0.0,0.7191011235955056,0.7272727272727273,0.15227483751160634
uniform random (control),0.2,S3 Sum of z (distress),(a) observed prevalence,0.7710070604637808,0.0,0.642857142857143,0.6136363636363636,0.15227483751160634
uniform random (control),0.2,S3 Sum of z (distress),(b) fixed capacity 19%,0.7710070604637808,0.0,0.6597222222222222,0.6477272727272727,0.15227483751160634
uniform random (control),0.2,S5 PC1 (p-factor),(a) observed prevalence,0.7390496532248282,0.0,0.619047619047619,0.590909090909091,0.15227483751160634
uniform random (control),0.2,S5 PC1 (p-factor),(b) fixed capacity 19%,0.7390496532248282,0.0,0.6436781609195402,0.6363636363636364,0.15227483751160634
uniform random (control),0.3,L1-LR supervised,labels,0.7361496379306768,0.013668274737561395,0.7355341432842785,0.8023863636363636,0.13277623026926652
uniform random (control),0.3,S1 Robust Z-Score (MAD),(a) observed prevalence,0.7295534159180366,0.0,0.6413301662707839,0.6136363636363636,0.13277623026926652
uniform random (control),0.3,S1 Robust Z-Score (MAD),(b) fixed capacity 19%,0.7295534159180366,0.0,0.7191011235955056,0.7272727272727273,0.13277623026926652
uniform random (control),0.3,S3 Sum of z (distress),(a) observed prevalence,0.7710070604637808,0.0,0.6265060240963854,0.590909090909091,0.13277623026926652
uniform random (control),0.3,S3 Sum of z (distress),(b) fixed capacity 19%,0.7710070604637808,0.0,0.6597222222222222,0.6477272727272727,0.13277623026926652
